
# emberek	Menschen
## család	Familie
### családfa	Stammbaum

após	Schwiegervater
boldog születésnapot	Alles Gute zum Geburtstag

## Az élet fontos eseményei	Wichtige Ereignisse im Leben
### Fordulópontok	Wendepunkte

születés	Geburt
óvoda	Kindergarten
beiratkozás	Einschulung
szalagavató (bál)	Schulabschluss(ball)
tanulmányok vége	Studienabschluss
első munkahely	Berufseinstieg
beleszeret	sich verlieben
eljegyez vkit	sich verloben
házasodik	heiraten
terhesség	Schwangerschaft
költözik	umziehen
nyugdíjba megy	in Rente gehen
temetés	Beerdigung
nagykoróvá válik	volljährig werden
megkéri vkinek a kezét	jemandem einen Heiratsantrag machen
esküvői ruha	Brautkleid
menyasszony	Braut
vőlegény	Bräutigam
családot alapít	Familie gründen
válás	Scheidung
elválik	sich scheiden lassen
meghal	sterben

## Az emberek jellemzése	Menschen beschreiben
### Arc	Gesicht

haj	Haar
homlok	Stirn
halánték	Schläfe
fül	Ohr
arc	Wange
(alsó) állkapocs	Unterkiefer
áll	Kinn
pofa	Mund
száj	Mund
ajak	Lippe
fog	Zahn
orrlyuk	Nasenloch
orr	Nase
szem	Auge
szempilla	Wimper
szemöldök	Augenbraue
grimaszol	eine Grimasse schneiden
bőr	Haut
ránc	Falte
anyajegy	Muttermal
gödröcske	Grübchen
szeplő	Sommersprossen
pórus	Pore
pattanás	Pickel

### Haj	Haar

vörös hajú	rothaarig
hullámos	gewellt
konty	Dutt
barna	brünett
őszülő	grau meliert
rövid haj	Kurzhaarschnitt
paróka	Perücke
lépcsőzetes vágás	Stufenschnitt
frufru	Pony
melír	Strähnchen
bubifrizura	Bobfrisur
egyenes	glatt
szőke	blond
sötét	dunkel
kopasz	Glatze
lófarok	Pferdeschwanz
copf	Pferdeschwanz
göndör	lockig
hajfonat	Zopf

### Külső megjelenés	Die äußere Erscheinung

szakáll	Bart
bajusz	Schnurrbart
fiatal	jung
idős	alt
öreg	alt
izmos	muskulös
fogszabályozó	Zahnspange
sápadt	blass
napbarnított	sonnengebräunt
zöld szem	grüne Augen
barna szem	braune Augen
szürke szem	graue Augen
kék szem	blaue Augen
vonzó	attraktiv
csinos	hübsch
csúnya	hässlich
szép	schön
vékony	schlank
kövér	dick
magas	groß
alacsony	klein
sebhely	Narbe
heg	Narbe

### Érzések és személyiség	Gefühle und Persönlichkeit

boldog	glücklich
büszke	stolz
meglepett	überrascht
izgatott	aufgeregt
zavarban van	verlegen
összezavarodott	verwirrt
félénk	schüchtern
szégyenlős	schüchtern
töprengő	nachdenklich
kíváncsi	neugierig
aranyos	niedlich/goldig
szerelmes	verliebt
öntudatos	selbstbewusst
nyílt	offen
toleráns	tolerant
türelmes	geduldig
barátságos	freundlich
rokonszenves	sympathisch
helyes	nett
mosolyog	lächeln
dühös	verärgert
jókedvű	froh
szomorú	traurig

stresszes	gestresst
bosszús	wütend
féltékeny	eifersüchtig
rémült	verängstigt
ideges	nervös
fáradt	müde
undorodó	angeekelt
konok	dickköpfig
unott	gelangweilt
mérges	sauer
homlokát ráncolja	Stirn runzeln
döbbent	bestürzt
ellenszenves	unsympathisch
kétségbeesett	verzweifelt
irigy	neidisch
türelmetlen	ungeduldig
arrogáns	arrogant
intoleráns	intolerant
érzékeny	sensibel

## Öltözködés	Kleidung
### Babaruha	Babysachen

textilpelenka	Stoffwindel
eldobható pelenka	Wegwerfwindel
body	Body
anorák	Schneeanzug
babahálózsák	Babyschlafsack
csörgő	Rassel
rugdalózó	Strampler
egyujjas kesztyű	Babyfäustling
(téli) sapka	Mütze
babacipő	Babyschühchen
sapka	Sonnenhut
zokni	Söckchen
cumi	Schnuller
előke	Lätzchen
kantáros nadrág	Latzhöschen
takaró	Babydecke
cumisüveg	Babyfläschen
biopamut	Biobaumwolle
műszálas	Kunstfaser

### Uniszex ruhadarabok	Unisex-Kleidung

melegítő	Trainingsanzug
pizsama	Schlafanzug
papucs	Hausschuh
kapucnis pulóver	Kapuzenpullover
fürdőköpeny	Bademantel
télikabát	Wintermantel
sportcipő	Turnschuh
esőkabát	Regenjacke
sínadrág	Schneehose
szűk	eng
bő	weit
rövid	kurz
hosszú	lang
kicsi	klein
nagy	groß
jó a méret	das passt gut
elviszem	ich nehme es
rövid ujjú	kurze Ärmel
hosszú ujjú	lange Ärmel
gomb	Knopf
patent	Druckknopf
gomblyuk	Knopfloch

### Férfiruházat	Herrenkleidung

póló	T-Shirt
pólóing	Polohemd
garbó	Rollkragenpullover
(pufi)mellény	Weste
mellény	Pullunder
csokornyakkendő	Fliege
rövidnadrág	kurze Hose
bokszeralsó	Boxershorts
alsónadrág	Unterhose
fürdőnadrág	Badehose
öltöny	Anzug
gallér	Kragen
nyakkendő	Krawatte
ing	Hemd
zakó	Sakko
nadrág	Hose

### Női ruházat	Damenkleidung

harisnya	Strumpf
harisnyanadrág	Strumpfhose
leggings	Leggings
bugyi	Slip
bikini	Bikini
fürdőruha	Badeanzug
sportmelltartó	Sport-BH
melltartó	Büstenhalter
fodor	Rüsche
kismamaruha	Umstandsmode
varrás	Naht
ujj	Ärmel
szegély	Saum
selyem	Seide
csipke	Spitze
méret	Größe
kivágás	Ausschnitt
vállpánt nélküli	trägerlos
karcsúsított	tailliert
laza	leger
csinos	schick
kényelmes	bequem
sztreccses anyagú	Stretchanteil
divatos	modisch

